segment_id,system_type,corridor_name,district,pipe_material,diameter_inches,length_ft,depth_ft,install_year,asset_age_years,condition_score,breaks_last_5yr,soil_corrosivity,capacity_utilization_pct,criticality_class,estimated_replacement_cost_usd,last_inspection_date,inspection_method,lat,lon
PIPE-0055,Stormwater,Fairview Ave,Downtown,Corrugated Metal,18,1426,7.5,1953,73,9,8,0.78,87.9,Critical,354336,2023-10-11,Visual,43.618421,-116.22
PIPE-0056,Stormwater,McMillan Rd,West Boise,HDPE,18,1151,12.7,2022,4,88,0,0.5,63.0,Medium,195481,2023-07-18,Flow Monitoring,43.642767,-116.329682
PIPE-0057,Water,Five Mile Rd,Southwest,Asbestos Cement,10,1775,4.5,1974,52,33,4,0.6,,Low,143363,2025-08-24,Ultrasonic,43.6,-116.29736
PIPE-0058,Pressurized Irrigation,Ustick Rd,West Boise,PVC PR-SDR,6,1643,4.2,2017,9,88,0,0.5,69.2,Low,59732,2025-09-25,Flow Monitoring,43.631314,-116.324789
PIPE-0059,Sewer,Franklin Rd,West Boise,PVC,8,1408,20.7,1993,33,89,1,0.5,37.7,Low,258972,2024-04-07,Manhole Inspection,43.60596,-116.29676
PIPE-0060,Sewer,9th St,Downtown,Concrete,8,776,18.5,1954,72,45,4,0.78,56.1,High,92954,2023-11-09,Manhole Inspection,43.626,-116.200646
PIPE-0061,Sewer,Fairview Ave,West Boise,PVC,42,1721,22.7,2009,17,74,0,0.5,71.9,High,409675,2023-08-19,CCTV,43.61365,-116.316294
PIPE-0062,Sewer,Jefferson St,Downtown,Vitrified Clay,6,1446,15.8,1927,99,5,4,0.78,67.9,Low,448905,2023-08-06,CCTV,43.618976,-116.22
PIPE-0063,Stormwater,McMillan Rd,West Boise,HDPE,30,334,7.4,2011,15,100,1,0.5,31.4,Medium,93879,2025-03-27,Dye Test,43.644142,-116.332618
PIPE-0064,Stormwater,Jefferson St,Downtown,Concrete,72,287,5.5,1938,88,29,1,0.78,100.0,Medium,172356,2025-11-27,Flow Monitoring,43.613303,-116.214319
PIPE-0065,Sewer,Fairview Ave,Downtown,Vitrified Clay,30,1226,7.6,1933,93,5,6,0.78,77.1,High,200722,2025-04-14,CCTV,43.617791,-116.22
PIPE-0066,Water,Maple Grove Rd,Southwest,PVC,16,2302,3.9,1983,43,86,0,0.6,,Low,664937,2023-09-02,Ultrasonic,43.582493,-116.276288
PIPE-0067,Sewer,Cloverdale Rd,West Boise,Ductile Iron,24,2016,6.3,1991,35,69,1,0.5,32.2,Medium,630808,2023-07-05,CCTV,43.6,-116.338515
PIPE-0068,Sewer,Ten Mile Rd,West Boise,PVC,42,2458,9.6,1992,34,100,1,0.5,38.0,High,644647,2025-01-24,Flow Monitoring,43.632667,-116.31771
PIPE-0069,Sewer,Idaho St,Downtown,Vitrified Clay,8,581,7.6,1930,96,6,4,0.78,84.2,Low,188153,2023-07-20,CCTV,43.613591,-116.182433
PIPE-0070,Water,Federal Way,East Bench,Ductile Iron,16,624,5.6,1974,52,74,1,0.45,,Low,125268,2022-10-19,Acoustic Leak Detection,43.597468,-116.175
PIPE-0071,Pressurized Irrigation,Cloverdale Rd,West Boise,PVC C900,8,318,4.7,2022,4,83,0,0.5,82.5,Critical,30684,2022-12-12,Visual,43.6,-116.334784
PIPE-0072,Stormwater,Cole Rd,Southwest,Corrugated Metal,48,1596,10.2,1981,45,38,4,0.6,54.9,High,230567,2023-07-18,Dye Test,43.544593,-116.25713
PIPE-0073,Pressurized Irrigation,Cloverdale Rd,West Boise,PVC C900,10,1318,4.0,2007,19,89,0,0.5,73.6,Critical,183718,2024-10-10,Flow Monitoring,43.6,-116.335926
PIPE-0074,Water,Hill Rd,North End,Cast Iron,12,1385,6.0,1933,93,5,12,0.72,,Low,297873,2025-09-07,Ultrasonic,43.658969,-116.23
PIPE-0075,Sewer,Capitol Blvd,Downtown,Vitrified Clay,8,1482,13.4,1954,72,22,6,0.78,96.5,Low,548436,2025-06-05,Flow Monitoring,43.617061,-116.20056
PIPE-0076,Sewer,8th St,Downtown,Vitrified Clay,21,1840,11.8,1940,86,8,4,0.78,97.1,Medium,340262,2025-02-03,Smoke Test,43.614917,-116.197625
PIPE-0077,Sewer,8th St,Downtown,Vitrified Clay,15,1008,6.5,1934,92,5,8,0.78,77.7,Low,357626,2024-02-10,Manhole Inspection,43.6,-116.199083
PIPE-0078,Water,Fairview Ave,Downtown,Cast Iron,6,2120,4.1,1953,73,14,5,0.78,,Low,351185,2025-06-01,Ultrasonic,43.615653,-116.215774
PIPE-0079,Water,Five Mile Rd,Southwest,Ductile Iron,4,2042,3.8,1990,36,58,0,0.6,,High,312931,2024-12-14,Acoustic Leak Detection,43.6,-116.29457
PIPE-0080,Pressurized Irrigation,Fairview Ave,West Boise,PVC PR-SDR,10,1999,4.4,2015,11,96,0,0.5,48.3,Medium,144333,2022-10-17,Valve Inspection,43.616144,-116.286216
PIPE-0081,Water,Federal Way,East Bench,Ductile Iron,36,815,3.6,1971,55,53,1,0.45,,High,260494,2024-01-30,Visual,43.596,-116.151381
PIPE-0082,Water,Eagle Rd,West Boise,PVC,6,1934,4.2,2018,8,81,0,0.5,,Low,209084,2023-01-28,Acoustic Leak Detection,43.625679,-116.356891
PIPE-0083,Sewer,Eagle Rd,West Boise,Ductile Iron,36,736,18.9,2006,20,76,0,0.5,49.3,Medium,148716,2024-04-28,Flow Monitoring,43.63278,-116.356074
PIPE-0084,Water,15th St,North End,Asbestos Cement,10,1467,6.6,1959,67,34,2,0.72,,Medium,274363,2025-01-05,Visual,43.68,-116.206294
PIPE-0085,Stormwater,Franklin Rd,West Boise,PVC,30,413,13.2,1993,33,82,0,0.5,29.6,High,71126,2023-06-21,CCTV,43.607847,-116.260071
PIPE-0086,Sewer,15th St,North End,Concrete,18,309,12.7,1953,73,48,1,0.72,38.5,High,50913,2025-09-15,Manhole Inspection,43.638192,-116.208621
PIPE-0087,Water,Maple Grove Rd,Southwest,Asbestos Cement,24,2037,3.1,1963,63,28,3,0.6,,Critical,677059,2024-08-01,Ultrasonic,43.584228,-116.273565
PIPE-0088,Water,Chinden Blvd,West Boise,PVC,6,654,5.1,2014,12,99,0,0.5,,High,85077,2025-06-10,Pressure Test,43.655,-116.310014
PIPE-0089,Water,Idaho St,Downtown,Cast Iron,30,2278,3.1,1958,68,8,6,0.78,,Critical,634238,2025-05-04,Pressure Test,43.615718,-116.20139
PIPE-0090,Sewer,Jefferson St,Downtown,Vitrified Clay,18,2436,18.7,1927,99,5,6,0.78,52.8,Critical,442500,2024-10-16,CCTV,43.615031,-116.189576
PIPE-0091,Water,Fort St,North End,Cast Iron,16,1470,5.2,1927,99,5,6,0.72,,High,290397,2023-11-10,Ultrasonic,43.638092,-116.17
PIPE-0092,Sewer,Milwaukee St,Southeast,PVC,21,1588,23.5,1983,43,87,1,0.55,58.5,Medium,265346,2024-02-14,CCTV,43.595,-116.2
PIPE-0093,Water,Myrtle St,Downtown,Cast Iron,12,1455,3.7,1945,81,5,7,0.78,,Low,474524,2025-08-07,Acoustic Leak Detection,43.606675,-116.182587
PIPE-0094,Water,Eagle Rd,West Boise,Ductile Iron,16,2301,6.8,2010,16,82,0,0.5,,Medium,230383,2022-09-28,Acoustic Leak Detection,43.649088,-116.352924
PIPE-0095,Water,Ustick Rd,West Boise,PVC,24,1719,5.3,1994,32,86,0,0.5,,High,344586,2022-10-09,Acoustic Leak Detection,43.632232,-116.278953
PIPE-0096,Water,Eastman St,North End,Cast Iron,24,1078,6.7,1941,85,5,5,0.72,,Medium,296223,2024-02-17,Pressure Test,43.643978,-116.220154
PIPE-0097,Sewer,Cole Rd,West Boise,Concrete,30,2420,19.2,1989,37,65,0,0.5,83.8,Critical,706961,2023-02-25,CCTV,43.608229,-116.2572
PIPE-0098,Water,Broadway Ave,Southeast,PVC,36,1711,3.5,1990,36,88,1,0.55,,High,805100,2025-03-21,Pressure Test,43.565392,-116.185102
PIPE-0099,Water,State St,West Boise,PVC,24,2108,6.5,1989,37,80,0,0.5,,Critical,977294,2025-01-23,Pressure Test,43.638081,-116.292439
PIPE-0100,Stormwater,Hill Rd,North End,Concrete,36,1123,6.0,1935,91,39,1,0.72,88.6,Medium,227029,2024-12-22,Visual,43.659076,-116.179728
PIPE-0101,Stormwater,Hill Rd,North End,Concrete,72,1582,3.5,1964,62,41,2,0.72,84.5,High,911267,2023-02-17,Flow Monitoring,43.662055,-116.209911
PIPE-0102,Sewer,State St,West Boise,PVC,24,1203,6.5,2004,22,74,0,0.5,33.7,Low,297127,2023-12-26,Flow Monitoring,43.638828,-116.265201
PIPE-0103,Sewer,Jefferson St,Downtown,Vitrified Clay,30,2500,14.0,1948,78,12,6,0.78,92.8,Medium,1715812,2024-02-01,Manhole Inspection,43.613637,-116.22
PIPE-0104,Water,Fort St,North End,Cast Iron,24,2308,5.0,1935,91,5,6,0.72,,High,455127,2023-04-14,Pressure Test,43.637801,-116.174674
PIPE-0105,Sewer,Curtis Rd,Southwest,Concrete,8,1965,13.1,1955,71,72,3,0.6,83.2,Medium,423670,2022-11-02,Manhole Inspection,43.550715,-116.223413
PIPE-0106,Water,McMillan Rd,West Boise,Ductile Iron,8,596,4.4,1992,34,66,2,0.5,,Medium,114055,2023-04-07,Ultrasonic,43.642363,-116.286408
PIPE-0107,Sewer,Fairview Ave,Downtown,Concrete,30,772,24.8,1963,63,52,0,0.78,55.6,High,512782,2025-10-29,Manhole Inspection,43.614968,-116.190955
PIPE-0108,Pressurized Irrigation,McMillan Rd,West Boise,PVC PR-SDR,4,1906,3.7,2014,12,84,0,0.5,20.1,Low,149983,2023-03-25,Visual,43.643502,-116.28626
PIPE-0109,Water,Orchard St,Southwest,PVC,8,1192,3.4,1979,47,100,0,0.6,,Low,279479,2025-07-28,Visual,43.547526,-116.229311
PIPE-0110,Pressurized Irrigation,Eagle Rd,West Boise,PVC C900,12,1531,3.8,1999,27,89,0,0.5,62.2,Medium,175884,2024-06-09,Valve Inspection,43.655,-116.35413
PIPE-0111,Stormwater,Federal Way,East Bench,Corrugated Metal,30,2485,11.5,1970,56,31,7,0.45,61.0,Low,637150,2024-04-22,CCTV,43.595791,-116.122681
PIPE-0112,Sewer,Amity Rd,Southwest,PVC,21,1816,10.8,2019,7,100,0,0.6,59.3,High,638736,2022-11-25,Manhole Inspection,43.55491,-116.238631
PIPE-0113,Water,Victory Rd,Southwest,Ductile Iron,8,647,4.0,1972,54,51,1,0.6,,Low,53618,2025-11-22,Visual,43.570694,-116.273054
PIPE-0114,Pressurized Irrigation,Chinden Blvd,West Boise,PVC PR-SDR,10,2155,4.4,2013,13,100,0,0.5,42.7,Critical,270505,2024-12-09,Valve Inspection,43.653903,-116.289527
PIPE-0115,Water,Harrison Blvd,North End,Cast Iron,20,2229,6.5,1927,99,5,7,0.72,,High,670955,2022-12-25,Ultrasonic,43.626,-116.198506
PIPE-0116,Water,Jefferson St,Downtown,Galvanized Steel,24,1317,3.6,1957,69,9,4,0.78,,Critical,499519,2023-08-25,Ultrasonic,43.614157,-116.22
PIPE-0117,Sewer,Overland Rd,Southwest,Vitrified Clay,8,1841,11.5,1975,51,32,2,0.6,72.1,Low,650466,2025-11-09,Manhole Inspection,43.589016,-116.295218
PIPE-0118,Water,State St,West Boise,PVC,10,454,3.6,2008,18,84,0,0.5,,Medium,122845,2024-09-06,Visual,43.638007,-116.282768
PIPE-0119,Sewer,Jefferson St,Downtown,Concrete,10,2063,16.0,1955,71,55,1,0.78,56.8,Low,363341,2025-06-18,Flow Monitoring,43.617486,-116.192541
PIPE-0120,Water,Orchard St,Southwest,PVC,6,659,5.0,1978,48,84,1,0.6,,High,119149,2023-01-22,Ultrasonic,43.549941,-116.231714
PIPE-0121,Water,Bannock St,Downtown,Asbestos Cement,8,2302,5.2,1954,72,17,3,0.78,,Medium,301237,2025-07-25,Acoustic Leak Detection,43.612493,-116.194887
PIPE-0122,Water,Idaho St,Downtown,Cast Iron,4,1375,6.1,1955,71,9,2,0.78,,Medium,363734,2022-11-24,Visual,43.613453,-116.180482
PIPE-0123,Stormwater,Five Mile Rd,Southwest,Corrugated Metal,18,2400,12.1,1962,64,9,5,0.6,72.8,High,398134,2023-05-04,Flow Monitoring,43.566445,-116.297236
PIPE-0124,Sewer,Fairview Ave,Downtown,Vitrified Clay,12,662,23.7,1942,84,14,1,0.78,72.4,Low,223476,2024-07-19,CCTV,43.613193,-116.187184
PIPE-0125,Water,Milwaukee St,Southeast,Ductile Iron,10,2410,3.2,1983,43,66,2,0.55,,Medium,628670,2024-03-24,Visual,43.542382,-116.2
PIPE-0126,Water,Eagle Rd,West Boise,PVC,10,1893,6.8,2018,8,82,0,0.5,,Low,347599,2022-12-24,Pressure Test,43.60904,-116.356634
PIPE-0127,Sewer,Ten Mile Rd,West Boise,PVC,21,811,9.8,2011,15,81,0,0.5,71.6,Medium,293757,2022-12-13,Smoke Test,43.6,-116.317897
PIPE-0128,Sewer,Overland Rd,Southeast,Vitrified Clay,15,1032,12.4,1970,56,42,2,0.55,59.4,Critical,282195,2022-10-15,Smoke Test,43.586982,-116.2
PIPE-0129,Water,Maple Grove Rd,Southwest,Ductile Iron,16,1441,6.7,1968,58,43,0,0.6,,Low,337807,2022-10-29,Pressure Test,43.6,-116.278908
PIPE-0130,Stormwater,Milwaukee St,Southeast,Reinforced Concrete Box,48,2385,8.6,1979,47,72,1,0.55,30.7,High,599484,2025-08-31,Visual,43.576898,-116.2
PIPE-0131,Sewer,Fairview Ave,Downtown,Vitrified Clay,15,2466,8.0,1926,100,5,2,0.78,82.6,High,805630,2023-03-08,Flow Monitoring,43.618609,-116.193669
PIPE-0132,Sewer,Five Mile Rd,Southwest,Concrete,48,1642,23.3,1965,61,67,0,0.6,57.2,Medium,387744,2025-11-19,Flow Monitoring,43.548541,-116.293678
PIPE-0133,Sewer,Jefferson St,Downtown,Concrete,12,478,12.5,1965,61,65,0,0.78,87.3,Medium,140188,2025-11-08,CCTV,43.617243,-116.22
PIPE-0134,Water,Orchard St,Southwest,Ductile Iron,30,1374,5.7,1972,54,50,0,0.6,,Medium,224301,2024-06-03,Ultrasonic,43.546371,-116.230121
PIPE-0135,Sewer,Myrtle St,Downtown,Vitrified Clay,21,2080,18.7,1948,78,25,6,0.78,62.1,Medium,1066768,2025-08-10,CCTV,43.60739,-116.175
PIPE-0136,Water,Ten Mile Rd,West Boise,Ductile Iron,6,2247,4.3,1995,31,66,1,0.5,,Medium,604668,2024-05-26,Acoustic Leak Detection,43.642626,-116.315131
PIPE-0137,Water,Idaho St,Downtown,Cast Iron,30,334,3.1,1942,84,5,5,0.78,,High,155153,2023-09-28,Pressure Test,43.612076,-116.175
PIPE-0138,Water,Overland Rd,Southeast,Asbestos Cement,6,2251,3.4,1963,63,33,3,0.55,,Medium,453598,2023-05-25,Ultrasonic,43.589473,-116.2
PIPE-0139,Pressurized Irrigation,Fairview Ave,West Boise,PVC PR-SDR,12,1737,4.5,2004,22,97,1,0.5,57.7,High,205460,2023-09-27,Flow Monitoring,43.615591,-116.280624
PIPE-0140,Pressurized Irrigation,McMillan Rd,West Boise,PVC PR-SDR,4,221,3.6,1996,30,76,0,0.5,74.3,Medium,8374,2024-02-07,Valve Inspection,43.645658,-116.314421
PIPE-0141,Stormwater,Main St,Downtown,Concrete,42,1788,5.9,1943,83,56,1,0.78,92.7,High,377410,2024-12-25,Dye Test,43.616675,-116.182012
PIPE-0142,Water,Warm Springs Ave,East Bench,Asbestos Cement,12,2183,6.8,1951,75,18,9,0.45,,Low,444508,2023-10-16,Pressure Test,43.609696,-116.175
PIPE-0143,Sewer,Victory Rd,Southeast,PVC,21,757,14.6,1976,50,74,0,0.55,83.0,Low,378739,2024-02-04,Flow Monitoring,43.568803,-116.186743
PIPE-0144,Water,Warm Springs Ave,East Bench,Cast Iron,16,666,7.0,1950,76,21,5,0.45,,Low,206133,2025-07-14,Ultrasonic,43.610592,-116.175
PIPE-0145,Pressurized Irrigation,Ten Mile Rd,West Boise,PVC PR-SDR,6,1440,5.0,2008,18,92,0,0.5,65.7,Low,166779,2022-11-15,Pressure Test,43.6,-116.315048
PIPE-0146,Stormwater,Maple Grove Rd,Southwest,Reinforced Concrete Box,72,548,10.4,1989,37,71,0,0.6,50.7,Medium,373924,2025-04-30,CCTV,43.54375,-116.277511
PIPE-0147,Sewer,8th St,Downtown,Concrete,12,2291,9.4,1941,85,58,4,0.78,62.3,Medium,861816,2024-04-06,Flow Monitoring,43.626,-116.196652
PIPE-0148,Water,Myrtle St,Downtown,Cast Iron,8,1626,3.8,1932,94,5,4,0.78,,High,383656,2023-12-31,Acoustic Leak Detection,43.605871,-116.203573
PIPE-0149,Pressurized Irrigation,Ten Mile Rd,West Boise,PVC PR-SDR,6,1199,4.5,2018,8,100,0,0.5,40.0,Low,82109,2024-10-24,Valve Inspection,43.61628,-116.315689
PIPE-0150,Pressurized Irrigation,Cloverdale Rd,West Boise,PVC C900,10,218,2.8,2006,20,88,0,0.5,42.6,Medium,18510,2023-03-06,Flow Monitoring,43.636379,-116.337765
PIPE-0151,Pressurized Irrigation,Cloverdale Rd,West Boise,PVC PR-SDR,12,1807,4.3,2005,21,80,1,0.5,60.7,Critical,98904,2024-03-17,Pressure Test,43.62696,-116.336912
PIPE-0152,Pressurized Irrigation,Amity Rd,Southwest,PVC PR-SDR,6,2292,3.8,2004,22,91,0,0.6,91.8,Medium,109675,2024-11-14,Flow Monitoring,43.552331,-116.267286
PIPE-0153,Water,Victory Rd,Southeast,Cast Iron,16,239,4.5,1958,68,20,6,0.55,,Medium,56953,2024-09-07,Pressure Test,43.569908,-116.2
PIPE-0154,Sewer,Front St,Downtown,Concrete,12,2402,20.5,1942,84,43,1,0.78,68.1,Medium,497587,2025-09-08,Flow Monitoring,43.604732,-116.182541
PIPE-0155,Water,Curtis Rd,Southwest,Ductile Iron,20,619,4.0,1968,58,59,2,0.6,,Medium,240088,2024-09-29,Pressure Test,43.598879,-116.221078
